w,c,zh,en,us,core,ex,exz
sensible,'sensɪb(ə)l,adj. 可感觉的；明智的,"adj. reasonable, practical, and showing good judgment",'sɛnsəbl,"【记忆】sens(感觉) + ible(可…的) → 可感觉到的 → 合情理的 | 【短语】sensible heat (显热；焓), sensible of (察觉；了解)",She seems very sensible.,她好像很明智。
sign,saɪn,n. 记号；标志；征兆；v. 签名,"n. an event, fact etc that shows that something is happening or that something is true or exists；v. to write your  signature  on something to show that you wrote it, agree with it, or were present",saɪn,"【短语】sign up (签约雇用，签约参加), sign on (开始广播；签约雇用), sign for (签收)",A paw print in the dust was a sign that a tiger was close.,沙土里的一个爪印表明附近有老虎。
as,æz; əz,prep. 与...形成对照,,"æz,əz","【短语】as well (也；同样地；还不如), as well as (也；和…一样；不但…而且), as one (一致的)",,
explicit,ɪk'splɪsɪt; ek-,adj. 清楚的，明确的,adj. expressed in a way that is very clear and direct,ɪk'splɪsɪt,"【短语】explicit expression (显式表达式), explicit knowledge (显性知识；外显知识), explicit memory (外显记忆)",The contrast could not have been made more explicit.,这个对比再清楚不过了。
wreck,rek,n. 破坏，船舶失事；失事船只,n. a ship that has sunk,rɛk,【短语】train wreck (失事列车；训练残骸),He was still alive when they pulled him from the wreck.,他们把他从失事的车辆中拖出来时，他还活着。
ravage,'rævɪdʒ,vt&vi. 毁坏，蹂躏；抢劫，掠夺,vt&vi. to damage something very badly,'rævɪdʒ,,a country ravaged by civil war,遭受内战重创的国家
wreathe,riːð,vt&vi. 覆盖，包围,"vt&vi. If something is wreathed in smoke or mist, it is surrounded by it",rið,,The ship was wreathed in smoke.,那艘船笼罩在浓烟中。
impede,ɪm'piːd,v. 妨碍；阻碍,v. to make it difficult for someone or something to move forward or make progress,ɪm'pid,【记忆】im + ped(脚) + e → 用脚绊倒 → 阻碍， 妨碍,Storms at sea impeded our progress.,海上风暴阻碍了我们的航程。
thesis,'θiːsɪs,n. (学位)论文,n. a long piece of writing about a particular subject that you do as part of an advanced university degree such as an MA or a PhD,'θisɪs,"【短语】graduation thesis (毕业论文；毕业设计), thesis writing (论文写作), scientific thesis (科学论点)",Cynthia’s still working on her thesis.,辛西娅还在写论文。
precedent,'presɪd(ə)nt,n. 先例，前例,n. an action or official decision that can be used to give support to later actions or decisions,'prɛsɪdənt,"【记忆】pre(在…前面) + ced(走， 前进) + ent → 走在前面的 → 先例； 惯例 | 【短语】judicial precedent (司法判例), condition precedent (先决条件), conditions precedent (先决条件)",a legal precedent,判例
lofty,'lɒftɪ,adj. 极高的，高尚的，高傲的,"adj. lofty mountains, buildings etc are very high and impressive",'lɔfti,,"He stayed at the Four Seasons Hotel, from whose lofty heights he could see across New York.",他住在四季酒店，从酒店高处可以看到纽约的全景。
fridge,frɪdʒ,n. 冰箱,"n. a large piece of electrical kitchen equipment, used for keeping food and drinks cool",frɪdʒ,,Then all three of you sign the contract and post in on the fridge.,然后你们三个人要都在协议上签名，并把它贴在冰箱上。
immune,ɪ'mjuːn,adj. 免除的；安全的，不受影响的,adj. not affected by something that happens or is done,ɪ'mjʊn,"【记忆】im(没有) + mun(作用) + e → 没有作用 → 免疫的； 免除的 | 【短语】immune system (免疫系统), immune response (免疫反应（体内免疫系统对外来有机体或化学物挑战所作出的反应）；免疫应答；免疫响应), acquired immune deficiency syndrome (艾滋病；获得性免疫缺陷综合症)","Once we’ve had the disease, we’re immune for life.",我们一旦得过这种病，就获得了终身免疫力。
scratch,skrætʃ,v. 抓；搔，挖；n. 抓痕，擦伤,v. to rub your skin with your nails because it feels uncomfortable；n. a small cut on someone’s skin,skrætʃ,"【短语】from scratch (白手起家；从头做起), start from scratch (从头开始；白手起家；从起跑线开始), up to scratch (达到标准)",John yawned and scratched his leg.,约翰打了个呵欠，挠了挠腿。
circulate,'sɜːkjʊleɪt,v. 循环，流通,"v. to move around within a system, or to make something do this",'sɝkjəlet,,Swimming helps to get the blood circulating through the muscles.,游泳有助于肌肉的血液循环。
nitrogen,'naɪtrədʒ(ə)n,n. [化]氮,"n. a gas that has no colour or smell, and that forms most of the Earth’s air. It is a chemical element: symbol N",'naɪtrədʒən,"【短语】ammonia nitrogen (氨氮；氨型氮，氨基氮), nitrogen content (含氮量；总氮量), total nitrogen (总氮，总氮量)","Well, we know nitrogen has what?",对于氮气我们知道什么？
alone,ə'ləʊn,a&ad. 孤独的(地),,ə'lon,"【短语】let alone (更不必说；听任；不打扰), all alone (独立地，独自地), stand alone (孤立；独一无二)",,
sieve,sɪv,n. (细)筛，过滤网,"n. A sieve is a tool used for separating solids from liquids or larger pieces of something from smaller pieces. It consists of a metal or plastic ring with a wire or plastic net underneath, which the liquid or smaller pieces pass through.",sɪv,"【短语】molecular sieve ([化]分子筛), sieve plate (n. 筛板), sieve tray ([化]筛盘)",Press the raspberries through a fine sieve to form a puree.,用一把细筛子把黑莓压榨成浓汁。
spiral,'spaɪr(ə)l,adj. 螺旋形的,adj. Spiral is also an adjective,'spaɪrəl,"【记忆】spir(看作spire， 螺旋) + al → 螺旋形的 | 【短语】spiral bevel gear (弧齿锥齿轮；螺旋伞齿轮), spiral groove (螺旋沟), spiral case (蜗壳；水轮机蜗壳)",...a spiral staircase.,…一段旋梯。
mercenary,'mɜːsɪn(ə)rɪ,adj. 唯利是图的，为钱的,"adj. only interested in the money you may be able to get from a person, job etc",'mɝsənɛri,【短语】mercenary marriage (买卖婚姻；着眼实利的婚姻),She did it for purely mercenary reasons.,她这么做纯粹是为了钱。
mechanism,'mek(ə)nɪz(ə)m,n. 机械装置；机构；机制,n. part of a machine or a set of parts that does a particular job,'mɛkənɪzəm,"【短语】market mechanism (市场机制；市场调节作用), reaction mechanism (反应机理), incentive mechanism (激励机制)",the brake mechanism,刹车装置
integrate,'ɪntɪgreɪt,v. 使一体化，取消种族隔离,"v. to end the practice of separating people of different races in schools, colleges etc",'ɪntɪɡret,"【记忆】in(不) ＋ tegr(触摸， 接触) + ate → 未被触摸 → (使)成为一体 | 【短语】integrate with (使与…结合), integrate into (成为一体，融入；使…并入), integrate circuit (集成电路)",He didn't integrate successfully into the Italian way of life.,他没有成功融入到意大利的生活方式中去。
earnest,'ɜːnɪst,adj. 认真的，坚决的,adj. very serious and sincere,,"【短语】in earnest (认真的；诚挚地；正经的), in real earnest (adv. 认真地), in sad earnest ([古语]十分严肃地，一本正经地)",a rather earnest young man,相当认真的一个年轻人
adolescence,ædə'les(ə)ns,n. 青春，青春期,"n. the time, usually between the ages of 12 and 18, when a young person is developing into an adult",",ædə'lɛsns",【记忆】ado(看作adult， 成年人) + lescence(看作licence， 许可证) → 青少年即将拿到成年的许可证 → 青春， 青春期 | 【短语】late adolescence (青春晚期),Some young people suddenly become self-conscious and tongue-tied in early adolescence.,一些年青人在青春期早期突然变得害羞结舌。
grave,greɪv,adj. 严重的；n. 墓,"adj. grave problems, situations, or worries are very great or bad；n. the place in the ground where a dead body is buried",ɡrev,"【短语】watery grave (葬身鱼腹，溺死), grave concern (严重关切), mass grave (乱葬冈；集体埋葬的墓地)",Matthew’s life is in grave danger .,马修的生命危在旦夕。
intrigue,ɪn'triːg,v. 用诡计取得；激起的兴趣；n. 阴谋,"v. if something intrigues you, it interests you a lot because it seems strange or mysterious；n. the making of secret plans to harm someone or make them lose their position of power, or a plan of this kind",'ɪn'triɡ,【记忆】in(里面) + trig(=tric小障碍物) + ue → 在里面放入小障碍物使复杂 → 密谋， 施诡计,Other people’s houses always intrigued her.,别人的房子总令她好奇。
claim,kleɪm,n. 要求；款项；要求权；要求之物；v. 宣称,"n. a right to do something or to have something, especially because it belongs to you or because you deserve it；v. to state that something is true, even though it has not been proved",klem,"【记忆】本身为词根， 意为“大声呼喊” → 要求； 声称 | 【短语】claim for (要求；索取), claim for compensation (索赔), lay claim to (要求；自以为)",The Maldives pressed its claim to hold the summit.,马尔代夫一再要求主办这场峰会。
opt,ɒpt,v. 挑选，选择,v. to choose one thing or do one thing instead of another,ɑpt,"【短语】opt for (选择), opt out (决定退出；插播；请求免除), opt out of (决定不参加...；决定（从...）退出)",Depending on your circumstances you can opt for one method or the other.,根据自己的情况，你可以选择这种或那种方法。
stipulate,'stɪpjʊleɪt,v. 规定，约定,"v. if an agreement, law, or rule stipulates something, it must be done",'stɪpjulet,【记忆】stip(一起按压) + ul + ate(使…) → 使一起按压 → 规定， 明确要求 | 【短语】stipulate for (v. 制订；规定),Laws stipulate the maximum interest rate that banks can charge.,法律对银行可以收取的最高利率作了规定。
eradicate,ɪ'rædɪkeɪt,v. 根除；消除,v. to completely get rid of something such as a disease or a social problem,ɪ'rædɪket,,an attempt to eradicate inflation,为消除通货膨胀所作的努力
delirium,dɪ'lɪrɪəm,n. 神智昏迷，说胡话；极度兴奋,n. extreme excitement,dɪ'lɪrɪəm,,Before she died she had fits of delirium.,去世前她一阵阵地胡言乱语。
pole,pəʊl,n. 极,"n. the most northern or most southern point on a  planet  , especially the Earth",pol,"【短语】north pole (n. 北极), south pole ([地]南极，南极地带), growth pole (增长极；增长点；发展轴心)",the distance from pole to equator,地极到赤道的距离
herd,hɜːd,n. 兽群，牧口群，牧人；v. 把赶到一起,"n. a group of animals of one kind that live and feed together；v. If you herd animals, you make them move along as a group",hɝd,"【短语】a herd of (一群（牛、鹿等）), herd behavior (羊群行为；羊群效应；从众行为；群体恐慌行为), herd instinct ([心]群居本能，群体心理)",You have to be an individual; it’s no use running with the herd.,你必须特立独行，随大溜没有用处。
stitch,stɪtʃ,n. 缝纫；缝线；(肋部)突然剧痛,"n. a short piece of thread that has been sewn into a piece of cloth, or the action of the thread going into and out of the cloth",stɪtʃ,"【记忆】stit(看作sit， 坐) + ch → 坐在那里做针线活 → 缝； 针脚 | 【短语】a stitch in time (及时处理), stitch length (针距；线圈长度；针迹长度), cross stitch (十字缝；十字针法)",He had to have ten stitches in his head.,他头上不得不缝了十针。
slag,slæg,n. 矿渣，炉渣，熔渣,"n. a waste material similar to glass, which remains after metal has been obtained from rock",slæɡ,"【短语】steel slag (钢渣), blast furnace slag (高炉矿渣), slag cement (矿渣水泥；熔渣水泥)",,
consolidate,kən'sɒlɪdeɪt,v. 巩固;；加强；把. 合为一体,"v. to strengthen the position of power or success that you have, so that it becomes more effective or continues for longer",kən'sɑlɪdet,,The company has consolidated its position as the country’s leading gas supplier.,这家公司巩固了作为该国主要煤气供应商的地位。
civic,'sɪvɪk,adj. 城市的；市民的,adj. relating to a town or city,'sɪvɪk,"【短语】civic education (公民教育), civic center (市中心；市府大厦), civic centre (市中心；市政大厅)",Jackson spent the day meeting with local religious and civic leaders.,杰克逊那天与当地的宗教领袖和市领导会面。
clash,klæʃ,v&n. 金属碰撞声；互碰；时间冲突；抵触,"v&n. if two armies, groups etc clash, they start fighting – used in news reports",klæʃ,【记忆】物体撞碎的声音 | 【短语】clash with (与…冲突，不调和),Troops clashed near the border.,军队在边境附近发生了冲突。
distract,dɪ'strækt,v. 分散(注意力等),v. to take someone’s attention away from something by making them look at or listen to something else,dɪ'strækt,【记忆】dis(分开) + tract(拉) → (注意力)被拉开 → 使分心 | 【短语】distract from (转移；使从…分心),Try not to distract the other students.,尽量不要让其他学生分心。
strap,stræp,n. 皮带，带；v. 用带束住；捆扎,"n. a narrow band of strong material that is used to fasten, hang, or hold onto something；v. to fasten something or someone in place with one or more straps",stræp,"【记忆】和strip(n. 条， 带)一起记 | 【短语】leather strap (皮带，皮表带), shoulder strap (肩章；保护肩部的衬垫), wrist strap (防静电手环，腕带)",a bra strap,胸罩肩带
format,'fɔːmæt,n. 格式，版式；形式，方式,n. the way in which something such as a television show or meeting is organized or arranged,'fɔrmæt,"【记忆】form(形式) + at → 固定的形式 → 版式； 格式 | 【短语】file format ([计]文件格式), data format (数据格式), standard format (标准格式；标准书型)",The courses were run to a consistent format.,这些课程的编排是有连续性的。
company,'kʌmp(ə)nɪ,n. 伴随；人群；同伴；公司,n. a business organization that makes or sells goods or services,'kʌmpəni,"【短语】limited company (有限公司；（英）股份有限公司（等于limited-liability company）), in company (一起；当众), company with (奉陪；与…一起)",Which company do you work for?,你在哪家公司上班？
trench,tren(t)ʃ,n. 地沟,n. a long narrow hole dug into the surface of the ground,trɛntʃ,"【记忆】t + rench(看作bench， 长凳) → 像长凳一样狭长的地区 → 沟， 壕沟 | 【短语】in the trenches (◎在第一线，在现场), cable trench (电缆沟；电缆槽), trench cover (沟盖板)",Workers dug a trench for gas lines.,工人们挖了一条沟来铺设煤气管道。
vain,veɪn,adj. 徒劳的，无效果的；自负的；不尊敬的,"adj. someone who is vain is too proud of their good looks, abilities, or position – used to show disapproval",ven,"【短语】in vain (徒然；无效), vain glory (虚荣)",Men can be just as vain as women.,男人有时会和女人一样虚荣。
exempt,ɪg'zem(p)t; eg-,vt&a. 免除，被豁免的,,ɪg'zɛmpt,"【短语】exempt from (豁免，免除), exempt from tax (免税), tax exempt (免税的)",So we have the current argument over how much of the derivative market will be exempt from regulation.,所以我们就看到了当前有关衍生产品市场到底有多大份额可以得到规则的豁免的辩论。
mask,mɑːsk,n. 面具；口罩；v. 遮蔽，伪装,"n. something that covers all or part of your face, to protect or to hide it；v. If one thing masks another, it prevents people from noticing or recognizing the other thing",mæsk,"【短语】face mask (面罩；面具), oxygen mask (n. 氧气面罩), shadow mask (荫罩；障板)",a surgical face mask,外科手术口罩
dwell,dwel,v. 居住；详述,v. to live in a particular place,dwɛl,"【短语】dwell on (详述；细想), dwell time (保压时间；停延时间), dwell upon (深思；细想；仔细想)",They dwelt in the forest.,他们住在森林里。
misgiving,mɪs'gɪvɪŋ,n. 怀疑，疑虑,n. a feeling of doubt or fear about what might happen or about whether something is right,",mis'ɡiviŋ",,Opponents of nuclear energy have deep misgivings about its safety.,反核能人士非常担心核能的安全性。
vex,veks,v. 使烦恼，使苦恼,v. to make someone feel annoyed or worried,vɛks,,It vexed me to think of others gossiping behind my back.,想到别人在我背后说闲话让我很恼火。
fare,feə,n. 车(船)费,n. a passenger in a taxi,fɛr,"【记忆】若愿与我同行， 我不在乎(care)船费(fare) | 【短语】bus fare (公共汽车票钱；公车票；公车费率), air fare (飞机票价；航空费用；航空票价), taxi fare (的士收费；出租汽车费)",He could barely afford the fare.,他几乎付不起车费。
external,ɪk'stɜːn(ə)l; ek-,adj. 外面的，外部的,adj. relating to the outside of something or of a person’s body,ɪk'stɝnl,"【记忆】ex(外) + ternal → 外面的 | 【短语】external environment (外环境), external force (外力), external wall (外墙；外堤)",the external appearance of the building,大楼的外观
sue,s(j)uː,vt&vi. 控诉，控告；请求,"vt&vi. to make a legal claim against someone, especially for money, because they have harmed you in some way",su,"【短语】sue for (控告), sue out (向法院请求得到)","If the builders don’t fulfil their side of the contract, we’ll sue.",如果建筑商不履行合同，我们就要提出起诉。
haphazard,hæp'hæzəd,a&ad. 杂乱的(地)，任意的(地),,'hæphæzəd,【记忆】hap(机会， 运气) + hazard(冒险) → 运气加冒险， 就能成功 → 偶然情况 → 无计划的,It was strings of words borrowed from the different languages around them and put together in sort of haphazard ways.,"它只不过是从身边的不同语言当中,借用了一些单词串,以随意的方式将它们放在一起"
allot,ə'lɒt,v. 分配；拨给；n. 部分；小块菜地,"v. to use a particular amount of time for something, or give a particular share of money, space etc to someone or something",ə'lɑt,,The seats are allotted to the candidates who have won the most votes.,这些席位被分配给了赢得了最多选票的候选人。
psychiatry,saɪ'kaɪətrɪ,n. 精神病学,n. the study and treatment of mental illnesses,saɪ'kaɪətri,【短语】forensic psychiatry (司法精神病学；法医精神病学),"In it, he argued that psychiatry was a branch of medical science and should be investigated by observation and experimentation like the other natural sciences.",在书中，他主张精神病学是医学的一个分支，应当像其他自然科学一样以观察和实验为研究手段。
out,aʊt,adv. of；adv. line；with跟. 不一致,,aʊt,"【短语】out of (由于；缺乏；自…离开；用…（材料）), out for (寻求；[口]力图要；决心要获得), go out (出去；熄灭；过时)",,
posture,'pɒstʃə,n. 姿势，姿态；态度,n. the way you position your body when sitting or standing,'pɑstʃɚ,【记忆】post(放) + ure → 姿势 | 【短语】body posture (体位；姿态；身体姿式),her upright posture,她笔挺的姿势
recycle,riː'saɪk(ə)l,v. 使再循环；回收利用,v. to put used objects or materials through a special process so that they can be used again,",ri'saɪkl","【记忆】re(重新) + cycle(循环) → 循环利用 → 回收利用 | 【短语】recycle bin (回收站；资源回收筒), recycle gas (回注气，循环气)",We take all our bottles to be recycled.,我们把我们所有的瓶子都回收利用。
expose,ɪk'spəʊz; ek-,"v. 揭发, 使暴露，使曝光""","v. to show the truth about someone or something, especially when it is bad",ɪk'spoz；ek-,【记忆】ex(出) + pos(放) + e → 放出来 → 使暴露， 揭露,The film exposes the utter horror of war.,这部电影揭示了战争的极端恐怖。
perception,pə'sepʃ(ə)n,n. 感觉；知觉,"n. Perception is the recognition of things using your senses, especially the sense of sight",pɚ'sɛpʃən,"【记忆】来自perceive(vt. 感知， 察觉) | 【短语】visual perception (视觉感知；视知觉), aesthetic perception (美感，审美观念；审美知觉), depth perception ([心]深度知觉)","And when they do, what do you think their perception will be?",当他们这样做时，你觉得他们的知觉是怎样的？
paranoia,",pærə'nɒɪə",n. 偏执狂；妄想狂,n. a mental illness that makes someone believe that they are very important and that people hate them and are trying to harm them,",pærə'nɔɪə",,They capitalize on panic and paranoia.,他们利用恐慌和偏执狂。
alongside,əlɒŋ'saɪd,ad&prep. 在旁，靠近,,ə'lɔŋ'saɪd,【短语】alongside of (与…并肩；在旁边),"We use the whiteboards alongside one of the walls, where you just write down your name if you have a question.",用其中一面墙壁旁边的白色书写板，如果有问题，你只要在那里写下你的名字。
canteen,kæn'tiːn,n. 食堂；小卖部；餐具箱；水壶,"n. a place in a factory, school etc where meals are provided, usually quite cheaply",kænˈtiːn,【记忆】“看停” → 小孩一看到餐厅就停下不走了 → 餐厅,Rennie had eaten his supper in the canteen.,伦尼已在食堂吃过晚饭。
supreme,suː'priːm,adj. 最高的；最大的，最重要的,"adj. having the highest position of power, importance, or influence",suˈprim,"【短语】supreme court (最高法院), supreme commander (最高指挥官；最高统帅；最高司令官), supreme being (上帝；至高无上的力量)",the Supreme Allied Commander in Europe,欧洲盟军最高指挥官
