w,c,zh,en,us,core,ex,exz
come,op,"来,前来",move toward the speaker or a place,/kʌm/,朝说话者或目标靠近，让彼此距离变短。,Come here when you're ready.,准备好了就过来。
get,op,"得到,获得;变得","obtain, become, or receive",/ɡɛt/,把东西收到手里，或让状态变成新的样子。,I'll get a new book tomorrow.,我明天会买本新书。
give,op,"给,赠予",transfer something to another,/ɡɪv/,把自己这边的东西交到别人那边，让所有权换手。,Please give me your hand.,请把手伸给我。
go,op,"去,离开",move away or proceed,/ɡoʊ/,离开当前位置，朝另一个地方移动过去。,We go to school every day.,我们每天都去学校。
keep,op,"保持,保留",hold or maintain in a state,/kip/,把东西或状态留住，不让它跑掉或改变。,"Keep the door open, please.",请让门开着。
let,op,"让,允许",allow or permit,/lɛt/,把拦住的门打开，让别人可以自由去做某事。,Let me try it once more.,让我再试一次。
make,op,"做,制造","create, build, or cause",/meɪk/,动手造成一个东西，或让事情变成某种样子。,She made a cake for us.,她为我们做了个蛋糕。
put,op,"放,置",place in a position,/pʊt/,把东西安放到某个位置上，让它停在那里。,Put the book on the table.,把书放在桌上。
seem,op,"似乎,看起来",appear or give the impression,/sim/,外表给人一种感觉，像是某种情况正在那里。,You seem tired today.,你今天看起来很累。
take,op,"拿,带走","grasp, carry, or accept",/teɪk/,伸手拿住并带走，或把递来的东西接过来。,Take this letter to her.,把这封信带给她。
be,op,"是,存在",exist or have a state,/bi/,人或东西就在那里，并处在某种样子里。,To be or not to be.,生存还是毁灭。
do,op,"做,执行",perform an action,/du/,把想做的事落到手上，真的动起来完成它。,Do your work first.,先做你的工作。
have,op,"有,拥有",possess or hold,"/hæv/, /həv/",某物在自己这边，归自己掌握或随身带着。,I have two sisters.,我有两个姐妹。
say,op,"说,讲",speak or state aloud,/seɪ/,把心里的话用声音或文字送到外面，让别人接到。,What did you say to him?,你对他说了什么?
see,op,"看见,理解",perceive with eyes or mind,/si/,眼睛接住画面，心里也可能跟着看明白。,I see what you mean.,我明白你的意思了。
send,op,"送,寄",cause to go or be delivered,/sɛnd/,让人或东西从这里出发，去到指定的另一边。,Send the parcel by post.,通过邮寄把包裹寄出去。
